status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
9258148868_10155357015888869,A cartoon by Sara Lautman.,Timeline Photos,photo,https://www.facebook.com/newyorker/photos/a.430906773868.229225.9258148868/10155357015888869/?type=3,2017-12-15 16:16:10,7343,117,2560,4998,215,25,2089,16,0,0
9258148868_10155356614588869,Today's daily cartoon by Ellis Rosen.,,video,https://www.facebook.com/newyorker/videos/10155356614588869/,2017-12-15 12:59:06,33357,411,40830,21708,547,196,5806,4163,937,0
9258148868_10155356565988869,"""Garland for Winter Solstice,"" a poem by Ruthven Todd, from 1955: 
http://nyer.cm/RR0xXnr",Timeline Photos,photo,https://www.facebook.com/newyorker/photos/a.430906773868.229225.9258148868/10155356565988869/?type=3,2017-12-15 12:34:47,162,11,77,133,29,0,0,0,0,0
9258148868_10155356413738869,"It's beginning to look a lot like Christmas. A cover, by Alain, from 1955. Follow us on Instagram for more throwbacks like this one: http://nyer.cm/mAqXCHn",Timeline Photos,photo,https://www.facebook.com/newyorker/photos/a.430906773868.229225.9258148868/10155356413738869/?type=3,2017-12-15 11:35:29,3053,29,336,2680,364,8,1,0,0,0
9258148868_10155354097083869,Today's daily cartoon by Zachary Kanin.,Timeline Photos,photo,https://www.facebook.com/newyorker/photos/a.430906773868.229225.9258148868/10155354097083869/?type=3,2017-12-14 15:02:34,10740,184,3691,6877,252,57,3509,37,8,0
9258148868_10155353615303869,The cartoonist Roz Chast joins Emma and Colin to talk about the characters in her cartoon world. Watch more: http://nyer.cm/1O7P8Vy,"""Roz Chast on Dancing Moms and the Ukulele""",video,https://www.facebook.com/newyorker/videos/10155353615303869/,2017-12-14 12:06:29,255,29,86,182,57,0,16,0,0,0
9258148868_10155351798078869,Today's daily cartoon by Ellis Rosen.,Timeline Photos,photo,https://www.facebook.com/newyorker/photos/a.430906773868.229225.9258148868/10155351798078869/?type=3,2017-12-13 15:48:11,5558,77,1256,4001,400,6,1151,0,0,0
9258148868_10155351779018869,Lebanese farms provide subsistence living for refugees but no route home. Watch more: http://nyer.cm/vU6dyfs,"""A Bitter Eden for Syrian Refugees""",video,https://www.facebook.com/newyorker/videos/10155351779018869/,2017-12-13 15:35:54,45,1,6,24,3,0,0,16,2,0
9258148868_10155351712508869,"A cartoon by Liza Donnelly, from 2008.",Timeline Photos,photo,https://www.facebook.com/newyorker/photos/a.430906773868.229225.9258148868/10155351712508869/?type=3,2017-12-13 14:57:57,1988,38,471,1419,61,1,505,2,0,0
9258148868_10155351602198869,"In a tight race for the Senate seat in Alabama, the Democrat Doug Jones defeats the Republican candidate Roy Moore by a margin of one and a half per cent.","""Doug Jones Defeats Roy Moore""",video,https://www.facebook.com/newyorker/videos/10155351602198869/,2017-12-13 14:01:58,690,33,23,581,101,1,7,0,0,0
9258148868_10155351153708869,A cartoon by Tom Toro.,Timeline Photos,photo,https://www.facebook.com/newyorker/photos/a.430906773868.229225.9258148868/10155351153708869/?type=3,2017-12-13 09:37:07,2831,30,265,2200,268,0,362,1,0,0
9258148868_10155349375428869,A cartoon by Alex Gregory.,Timeline Photos,photo,https://www.facebook.com/newyorker/photos/a.430906773868.229225.9258148868/10155349375428869/?type=3,2017-12-12 15:39:04,11559,595,5311,7834,363,6,3350,6,0,0
9258148868_10155349353578869,Today's daily cartoon by Christopher Weyant.,Timeline Photos,photo,https://www.facebook.com/newyorker/photos/a.430906773868.229225.9258148868/10155349353578869/?type=3,2017-12-12 15:32:03,7756,77,2583,5277,320,11,2147,1,0,0
9258148868_10155349031563869,"“Throughout 'The Last Jedi,' twist after twist, touch after touch, line after line has the feel of the compulsory, of homework done elaborately with extreme labor,” Richard Brody writes.",“Star Wars: The Last Jedi” Reviewed,link,http://nyer.cm/ZZsdkUz,2017-12-12 12:45:56,341,46,51,303,19,9,5,3,2,0
9258148868_10155348959693869,"""There's nothing more precious than the soil of your homeland.""

Lebanese farms provide subsistence living for Syrian refugees but no route home. Watch the full video: http://nyer.cm/LGs9Xrb","""A Bitter Eden for Syrian Refugees""",video,https://www.facebook.com/newyorker/videos/10155348959693869/,2017-12-12 12:09:18,137,5,30,84,5,0,0,48,0,0
9258148868_10155347228893869,"In Daily Shouts: In this F.A.Q., Matt and Maht, experts from the Federal Communications Commission, break down the issue ahead of the agency’s net neutrality vote.","""Net Neutrality, Explained""",video,https://www.facebook.com/newyorker/videos/10155347228893869/,2017-12-11 17:42:15,118,7,94,94,10,1,12,0,1,0
9258148868_10155346875208869,Today's daily cartoon by David Sipress.,Timeline Photos,photo,https://www.facebook.com/newyorker/photos/a.430906773868.229225.9258148868/10155346875208869/?type=3,2017-12-11 14:59:15,8334,114,6283,5767,64,97,685,1503,218,0
