status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
18807449704_10155616056024705,New York City may be getting this spectacular U-shaped skyscraper.,NYC could make history with this U-shaped skyscraper,video,https://www.facebook.com/mashable/videos/10155616056024705/,2017-09-11 06:30:00,4469,348,2476,3552,194,674,35,7,7,0
18807449704_10155616053994705,Forget sports bars — this is an esports bar.,Esports bar,video,https://www.facebook.com/mashable/videos/10155616053994705/,2017-09-11 05:30:00,1096,515,450,901,104,77,13,1,0,0
18807449704_10155616052514705,This solar-powered machine transforms sand into glass objects. In the middle of the Sahara desert.,Watch sand turn into glass objects,video,https://www.facebook.com/mashable/videos/10155616052514705/,2017-09-11 03:30:00,3814,72,2730,3130,207,473,3,0,1,0
18807449704_10155616175934705,This ingenious toilet paper tray will keep your iPhone safe in the bathroom.,This toilet paper tray will keep your iPhone safe,video,https://www.facebook.com/mashable/videos/10155616175934705/,2017-09-10 18:00:00,898,551,161,623,23,22,221,6,3,0
18807449704_10155616171754705,"Lose your straws, help out planet, and help actor Adrian Grenier sleep better at night.",Adrian Grenier wants you to chuck your straws to help our planet,video,https://www.facebook.com/mashable/videos/10155616171754705/,2017-09-10 12:00:00,204,33,23,184,18,0,2,0,0,0
18807449704_854323994723208,This capsule may protect you from unavoidable disasters.,Disaster capsule,video,https://www.facebook.com/mashable/videos/854323994723208/,2017-09-10 08:00:00,803,130,370,710,26,60,6,0,1,0
18807449704_10155616044294705,Watch humans irreversibly change the Earth in 30 years with this Google Earth Timelapse.,Google Earth Timelapse,video,https://www.facebook.com/mashable/videos/10155616044294705/,2017-09-10 06:30:00,2400,53,2177,1567,18,345,4,440,26,0
18807449704_10155616029894705,This unique boat feature could save you from sea sickness.,Bumpy waves boat,video,https://www.facebook.com/mashable/videos/10155616029894705/,2017-09-10 05:30:00,799,65,469,708,30,59,1,1,0,0
18807449704_10155612950729705,Forget yoga mats — yoga boards will give you a much better workout.,Yoga board,video,https://www.facebook.com/mashable/videos/10155612950729705/,2017-09-10 03:30:00,1601,619,1004,1426,101,65,7,1,1,0
18807449704_10155612943164705,These shoe inserts could make you run faster.,Run like the wind...but actually,video,https://www.facebook.com/mashable/videos/10155612943164705/,2017-09-10 01:30:00,201,28,53,186,3,7,5,0,0,0
18807449704_10155612923534705,Dogs will love this chew toy that smells like you.,Human scented dog toys,video,https://www.facebook.com/mashable/videos/10155612923534705/,2017-09-09 23:30:00,266,53,105,210,36,1,19,0,0,0
18807449704_10155616038394705,5 famous cats before the internet even existed.,Famous cats before the internet,video,https://www.facebook.com/mashable/videos/10155616038394705/,2017-09-09 15:00:00,1935,126,3481,1518,342,47,27,1,0,0
18807449704_10154229930323078,Here's how you can make a DIY Thor gladiator suit at home.,DIY Costume Squad - Thor,video,https://www.facebook.com/mashable/videos/10154229930323078/,2017-09-09 12:00:00,49,2,28,46,3,0,0,0,0,0
18807449704_10155615899589705,These magnetic speakers let you take your music anywhere.,Magnetic speakers,video,https://www.facebook.com/mashable/videos/10155615899589705/,2017-09-09 10:00:00,260,10,167,242,10,8,0,0,0,0
18807449704_10154919743712919,Stay under water longer with the help from this portable gear.,Mini scuba gear,video,https://www.facebook.com/mashable/videos/10154919743712919/,2017-09-09 08:00:00,259,20,108,243,6,7,1,0,2,0
18807449704_10155612914044705,Coconut oil might be worse for you than animal fat.,Is coconut oil bad for you? - Sharp Science,video,https://www.facebook.com/mashable/videos/10155612914044705/,2017-09-09 06:30:00,305,208,186,174,5,19,61,3,43,0
18807449704_10155612910104705,This pocket-sized device is designed to prevent asthma attacks.,Asthma prevention device,video,https://www.facebook.com/mashable/videos/10155612910104705/,2017-09-09 05:30:00,2512,722,1460,2166,138,188,17,1,2,0
18807449704_10155612905604705,"Forget solar roofs, these solar panels are cheap, paper-thin and made with a revolutionary conductive ink.",Solar panels made with ink,video,https://www.facebook.com/mashable/videos/10155612905604705/,2017-09-09 03:30:01,10095,339,10999,8685,620,779,8,1,2,0
18807449704_10155612902964705,This app lets you listen and share your baby's heartbeat before it's born.,Heartbeat app,video,https://www.facebook.com/mashable/videos/10155612902964705/,2017-09-09 01:30:00,771,558,274,625,72,66,2,0,6,0
18807449704_10154917231712919,The world's discarded tennis balls are being repurposed into bluetooth speakers.,Tennis ball speakers,video,https://www.facebook.com/mashable/videos/10154917231712919/,2017-09-08 23:30:00,280,28,118,258,10,12,0,0,0,0
18807449704_10155615253999705,This castle -- 3D printed entirely in concrete -- could change the way we build our homes.,3D printed castle,video,https://www.facebook.com/mashable/videos/10155615253999705/,2017-09-08 10:00:00,2112,85,1520,1770,111,226,2,3,0,0
18807449704_10155614985784705,The store of the future has no checkout lines.,Cameras that replace registers,video,https://www.facebook.com/mashable/videos/10155614985784705/,2017-09-08 08:00:07,5097,431,7576,4203,217,626,28,9,14,0
18807449704_10155612879159705,Get the perfect slice of cake every time with this kitchen device,Cake slicer,video,https://www.facebook.com/mashable/videos/10155612879159705/,2017-09-08 03:30:00,3703,908,1092,3175,286,220,21,0,1,0
18807449704_10155612873589705,This Star Wars-like holographic device can create free floating objects in air.,Holographic device,video,https://www.facebook.com/mashable/videos/10155612873589705/,2017-09-07 23:30:00,2193,59,1528,1836,127,227,3,0,0,0
18807449704_10155613294529705,How to prepare for natural disasters.,Disaster prep,video,https://www.facebook.com/mashable/videos/10155613294529705/,2017-09-07 18:00:00,356,22,364,343,8,2,1,2,0,0
18807449704_10155609810769705,"This creepy robot pup looks just like Zuckerberg's dog, Beast.",Meet Soshee the robot puppy,video,https://www.facebook.com/mashable/videos/10155609810769705/,2017-09-07 05:30:00,418,115,191,327,31,32,27,0,1,0
18807449704_10154914722187919,This robotic suitcase will follow you on your trip.,,video,https://www.facebook.com/mashable/videos/10154914722187919/,2017-09-07 01:30:00,118,17,77,105,7,6,0,0,0,0
18807449704_10155609795929705,Just in case you wanted to double check if your food is gluten free.,Gluten sensing device,video,https://www.facebook.com/mashable/videos/10155609795929705/,2017-09-06 23:30:00,7067,11355,5233,5455,244,591,736,12,29,0
18807449704_10155609561069705,You can now pay with your smile because credit cards are so 2016.,Facial recognition payment,video,https://www.facebook.com/mashable/videos/10155609561069705/,2017-09-06 15:10:00,1099,117,1134,900,35,144,18,1,1,0
