status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10643211755_10156694388321756,"“There are something like 5,000 euphemisms for periods,” says Jennifer Weiss-Wolf, author of ""Periods in Public"" – and there are infinitely more experiences. These five people tackle the period taboo head on.",Talking Periods in Public,video,https://www.facebook.com/NPR/videos/10156694388321756/,2018-03-08 10:02:00,6961,314,2884,5846,1035,27,49,3,1,0
10643211755_10156694745161756,"Today’s Headlines with Korva Coleman: British police say a Russian ex-spy and his daughter, who are in critical condition after collapsing in southern England over the weekend, were exposed to a nerve agent. Also, President Trump is hinting that he’ll discuss steel and aluminum tariffs at a White House meeting today; a spokeswoman has said he’ll take executive action by the end of the week. Tuning in live? Post your questions in the comments.",Headlines,video,https://www.facebook.com/NPR/videos/10156694745161756/,2018-03-08 09:59:45,186,177,28,126,41,5,0,5,9,0
10643211755_10156661635911756,"As the Paralympics get underway, NPR's Seoul-based correspondent, Elise Hu, has a tip for cheering on Korean athletes.",How To Cheer In Korean | Elise Tries | NPR,video,https://www.facebook.com/NPR/videos/10156661635911756/,2018-03-08 08:00:00,584,92,90,509,36,1,38,0,0,0
10643211755_10156693762931756,"Freelancers and contract workers are expected to surpass half of all workers within a decade. But they're ineligible for unemployment insurance, workers' compensation and protections under most federal anti-discrimination laws.",Gig Economy Renews Debate Over Whether Contractors Are Really Workers,link,https://www.npr.org/2018/03/07/589840595/gig-economy-renews-debate-over-whether-contractors-are-really-workers?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180308,2018-03-08 07:30:00,609,79,388,314,2,15,2,122,154,0
10643211755_10156693759016756,"Romero, who had denounced a crackdown on leftist opponents of the country's military government, was killed while celebrating Mass.","Salvadoran Archbishop Oscar Romero, Gunned Down In 1980, Will Become A Saint",link,https://www.npr.org/sections/thetwo-way/2018/03/07/591644491/salvadoran-archbishop-oscar-romero-gunned-down-in-1980-will-become-a-saint?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180308,2018-03-08 06:30:00,5248,191,1352,4208,792,145,31,63,9,0
10643211755_549078105452539,"From NPR Music: During Slingshot artist Haley Heynderickx's soundcheck at Kings County Distillery, our Night Owl became so moved that he flew away. He left only a golden feather in his stead. She sang the wayward owl a fitting goodbye with her beautiful song, ""No Face.""","Haley Heynderickx, ""No Face""",video,https://www.facebook.com/NPR/videos/549078105452539/,2018-03-08 01:41:00,280,14,59,226,51,1,1,1,0,0
10643211755_10156062545786000,"From WBEZ: Chicago Police and the Cook County Sheriff’s Office tried to stop a person from legally carrying a gun thousands of times in 2016. A governor-appointed board often issued the license anyways.

“If it's not doing what it was intended to do then I think it's time to revisit the wisdom of this system,” said Cara Smith, chief policy officer for the Cook County Sheriff’s Office. http://bit.ly/2FgCCf8",State Board Regularly OKs Gun Licenses Despite Police Warnings,video,https://www.facebook.com/NPR/videos/10156062545786000/,2018-03-08 00:30:00,293,50,104,178,4,41,2,12,56,0
10643211755_10156692503756756,"The Electronic Frontier Foundation, a digital civil liberties organization, is accusing the FBI of paying Best Buy Geek Squad employees to act as informants, rewarding them for flagging indecent material when people brought their computers in for repair.",FBI Used Paid Informants On Best Buy's Geek Squad To Flag Child Pornography,link,https://www.npr.org/sections/thetwo-way/2018/03/07/591698708/fbi-used-paid-informants-on-best-buys-geek-squad-to-flag-child-pornography?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180307,2018-03-07 22:45:00,2860,610,845,1749,95,648,62,13,293,0
10643211755_10156691889876756,"Long-form, heavily researched segments on obscure topics are commonplace on “Last Week Tonight.” The show’s star calls it ""the slowest improv you've ever seen.""",John Oliver Finds Humor In The News No One Wants To Hear About,link,https://www.npr.org/2018/03/07/591457135/john-oliver-finds-humor-in-the-news-no-one-wants-to-hear-about,2018-03-07 15:26:10,23064,323,1836,19092,3401,31,533,4,3,0
10643211755_10156691101886756,A neo-Nazi organization has been connected to killings in three states. NPR’s Greg Myre joins us to talk about such extremist groups and how the U.S. government handles cases that may be connected to domestic terrorism.,Newstime,video,https://www.facebook.com/NPR/videos/10156691101886756/,2018-03-07 11:20:07,942,280,531,295,10,144,2,79,412,0
10643211755_10156690821971756,"Today’s Headlines with Korva Coleman: Texas held the first primary election of the year on Tuesday, with Democratic turnout hitting a record high. Also, another winter storm is projected to hit the northeast, just days after the nor’easter knocked out power for millions; up to a foot of snow is expected to fall in parts of Pennsylvania north to Maine. Have a question? Post it in the comments.",,video,https://www.facebook.com/NPR/videos/10156690821971756/,2018-03-07 09:59:59,286,193,32,216,65,4,1,0,0,0
10643211755_10156690019851756,"""If coming forward and trying to tip off American authorities to something that might be dangerous results in vilification, public trashing of your reputation and humongous legal fees, who's going to want to come forward and tell this country anything?""",Journalist Charts The 'Bizarre Twists And Turns' Of The Trump-Russia Dossier,link,https://www.npr.org/2018/03/06/591130207/journalist-charts-the-bizarre-twists-and-turns-of-the-trump-russia-dossier?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180307,2018-03-07 06:00:00,4255,191,1458,3106,25,510,47,405,162,0
10643211755_10156689783546756,"Here's how long the film's been in the works: The first director to pass on the project was Stanley Kubrick, riding high off ""The Shining.""",The 'Wrinkle In Time' Movie Began As A Fifth-Grader's Dream,link,https://www.npr.org/2018/03/06/589537709/the-wrinkle-in-time-movie-began-as-a-fifth-grader-s-dream?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180307,2018-03-07 02:00:00,3003,71,577,2344,474,182,3,0,0,0
10643211755_10156688889571756,There's a new study out on norovirus and the role hand-washing can play in stopping an outbreak. To sum it up: Wash up!,What You Might Not Realize About The Benefits Of Hand-Washing,link,https://www.npr.org/sections/goatsandsoda/2018/03/06/591241255/what-you-might-not-realize-about-the-benefits-of-hand-washing?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180306,2018-03-07 00:43:00,9040,266,5554,8523,392,111,14,0,0,0
10643211755_10156688885111756,Two experts with 25 years of experience negotiating with Pyongyang offer some advice for President Trump.,Wanted: U.S. Envoy To Talk To North Korea,link,https://www.npr.org/sections/parallels/2018/03/06/591187921/wanted-u-s-envoy-to-talk-to-north-korea?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180306,2018-03-07 00:01:00,355,140,82,298,6,13,35,0,3,0
10643211755_10156688080701756,Scientists are optimistic the technology behind a hyperloop could work. But nobody has any idea what it would cost.,"How Far-Fetched Is This Columbus Hyperloop, Anyway?",link,http://radio.wosu.org/post/how-far-fetched-columbus-hyperloop-anyway#stream/0?utm_source=Facebook&utm_medium=Social&utm_campaign=FBWOSU7784,2018-03-06 15:44:40,51,7,16,41,5,5,0,0,0,0
10643211755_10156687943671756,"Trump holds press conference with Swedish PM: President Trump and Swedish Prime Minister Stefan Lofven will take questions from reporters. The two leaders are expected to discuss economic growth, innovation and security in addition to what the journalists raise.",,video,https://www.facebook.com/NPR/videos/10156687943671756/,2018-03-06 15:26:40,1209,2210,141,214,58,24,145,48,720,0
10643211755_10156687922391756,"Why is there a fortress off the 5 Freeway with concrete battlements, ancient cuneiform, protective deities -- and an Aéropostale?",Why LA's Citadel Looks Like An Ancient Assyrian Palace,link,https://www.scpr.org/programs/take-two/2018/03/05/62011/a-palace-in-la-the-story-behind-the-citadel-outlet/?utm_source=Facebook&utm_medium=Social&utm_campaign=FBKPCC7783,2018-03-06 15:01:05,618,46,218,550,34,25,9,0,0,0
10643211755_10156687563491756,"The Midwest saw a 69.7 percent jump in opioid overdoses, a spike driven in part by a 109 percent increase in Wisconsin alone.",Jump In Overdoses Shows Opioid Epidemic Has Worsened,link,https://www.npr.org/sections/health-shots/2018/03/06/590923149/jump-in-overdoses-shows-opioid-epidemic-has-worsened?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180306,2018-03-06 13:04:39,1337,170,700,302,1,252,7,714,61,0
10643211755_10156687260581756,"In a study of 240 veterans with chronic back pain, after about nine months,those in the non-opioid group reported their pain was slightly less severe than those in the opioid group.",Opioids Don't Beat Other Medications For Chronic Pain,link,https://www.npr.org/sections/health-shots/2018/03/06/590837914/opioids-dont-beat-other-medications-for-chronic-pain?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180306,2018-03-06 11:33:00,1830,175,589,1629,44,127,9,10,11,0
10643211755_10156687280811756,"To environmentalists’ delight, Sonic Drive-In has released a new burger. Wait — what? NPR’s Dan Charles explains how the “signature slingers” use mushrooms to slash greenhouse gas emissions.",Newstime,video,https://www.facebook.com/NPR/videos/10156687280811756/,2018-03-06 11:15:29,377,89,68,319,39,12,5,1,1,0
10643211755_10156686998261756,"Today's Headlines with Korva Coleman: In a potential breakthrough with North Korea, South Korea says the north is willing to begin negotiations to abandon its nuclear weapons. Also, today Texas holds the first in the nation primary in this year’s midterm election. Have a question? Post it in the comments.",Headlines,video,https://www.facebook.com/NPR/videos/10156686998261756/,2018-03-06 10:00:39,484,362,88,351,118,11,3,0,1,0
10643211755_10156686658536756,"If Shkreli can't pay the government $7.36 million he made from his fraud, he'll have to give up the ultra-rare album.","Martin Shkreli, Now In Jail, May Have To Forfeit That Wu-Tang Album After All",link,https://www.npr.org/sections/thetwo-way/2018/03/05/590980850/martin-shkreli-now-in-jail-may-have-to-forfeit-that-wu-tang-album-after-all?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180306,2018-03-06 08:16:36,13047,597,1399,7248,844,121,4805,22,7,0
10643211755_10156686304116756,Moving the U.S. embassy from Tel Aviv is controversial because Palestinians also consider Jerusalem their capital.,Trump Says He's Considering Attending Controversial Jerusalem Embassy Opening,link,https://www.npr.org/sections/thetwo-way/2018/03/05/590860342/trump-says-hes-considering-attending-controversial-jerusalem-embassy-opening?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180306,2018-03-06 07:00:00,1150,566,104,231,33,32,54,77,723,0
10643211755_10156685962176756,"Hacking hasn't made the old ways obsolete, the writer says: ""At midnight behind the soccer stadium, in many countries around the world, CIA officers are meeting information sources still. Human intelligence is still the gold standard.""",'Red Sparrow' Author And Ex-CIA Agent Says New Movie Gets Spy Life Right,link,https://www.npr.org/2018/03/05/590001771/red-sparrow-author-and-ex-cia-agent-says-new-movie-gets-spy-life-right?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180306,2018-03-06 03:30:00,1093,52,117,995,9,63,24,1,1,0
10643211755_10156684936836756,"Fogel started out making, by his own admission, ""almost an absurdist comedy."" Then, with one turn, it got deadly serious.",How 'Icarus' Accidentally Exposed A Major 'Ocean's Eleven-Style' Doping Scheme,link,https://www.npr.org/2018/03/05/590869276/how-icarus-accidentally-exposed-a-major-ocean-s-eleven-style-doping-scheme?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180305,2018-03-05 19:40:00,3581,135,589,2906,79,584,7,5,0,0
